open,close,high,low,vol,amount,date,code,volume
161.16,159.22,162.99,159.07,28979.0,465735840.0,2025-12-18,688018,28979.0
159.9,157.18,160.97,157.02,27319.0,432611392.0,2025-12-19,688018,27319.0
157.26,159.28,161.0,157.22,27537.0,438731200.0,2025-12-22,688018,27537.0
159.8,161.68,164.76,159.19,31997.0,519202464.0,2025-12-23,688018,31997.0
161.6,165.84,167.8,160.51,39599.0,650324288.0,2025-12-24,688018,39599.0
166.5,165.64,166.6,164.07,26053.0,431502816.0,2025-12-25,688018,26053.0
164.73,163.8,167.99,163.35,26583.0,440211936.0,2025-12-26,688018,26583.0
164.09,164.03,167.88,163.84,28688.0,476505184.0,2025-12-29,688018,28688.0
164.67,172.9,176.88,164.08,62826.0,1069018560.0,2025-12-30,688018,62826.0
176.0,170.0,176.79,168.6,37357.0,637380416.0,2025-12-31,688018,37357.0
171.02,178.3,179.01,171.01,53228.0,936405248.0,2026-01-05,688018,53228.0
176.97,176.87,179.01,173.08,47133.0,829587520.0,2026-01-06,688018,47133.0
176.0,173.35,177.19,170.66,56177.0,971452288.0,2026-01-07,688018,56177.0
172.06,173.33,177.9,172.06,40404.0,707006784.0,2026-01-08,688018,40404.0
171.5,175.7,176.33,169.06,47899.0,831440000.0,2026-01-09,688018,47899.0
176.8,189.45,189.5,175.0,89456.0,1639060608.0,2026-01-12,688018,89456.0
191.0,177.62,191.0,176.28,71784.0,1312104576.0,2026-01-13,688018,71784.0
177.3,180.01,186.74,176.5,72370.0,1314367488.0,2026-01-14,688018,72370.0
177.69,182.18,183.78,177.41,46813.0,845445120.0,2026-01-15,688018,46813.0
181.07,183.0,185.68,179.29,50032.0,913144704.0,2026-01-16,688018,50032.0
181.36,175.81,182.0,175.78,45443.0,809133696.0,2026-01-19,688018,45443.0
175.89,174.85,180.9,173.12,38931.0,684834624.0,2026-01-20,688018,38931.0
173.01,179.1,181.6,172.33,46659.0,832701376.0,2026-01-21,688018,46659.0
180.31,177.5,181.61,175.98,30622.0,543874240.0,2026-01-22,688018,30622.0
177.5,179.35,180.8,175.51,42672.0,760272896.0,2026-01-23,688018,42672.0
179.0,169.55,181.55,169.4,53186.0,918289216.0,2026-01-26,688018,53186.0
170.1,175.9,177.3,166.8,48697.0,843534720.0,2026-01-27,688018,48697.0
174.71,177.44,181.56,174.71,43495.0,775496704.0,2026-01-28,688018,43495.0
176.0,170.47,179.6,170.0,39439.0,685364160.0,2026-01-29,688018,39439.0
169.25,168.3,171.68,163.6,33919.0,568742784.0,2026-01-30,688018,33919.0
166.44,159.75,167.94,159.35,35734.0,580272896.0,2026-02-02,688018,35734.0
162.89,164.1,164.88,159.35,29156.0,472648032.0,2026-02-03,688018,29156.0
162.98,160.0,163.0,158.58,27781.0,443946080.0,2026-02-04,688018,27781.0
159.18,161.53,163.98,158.8,22777.0,366302656.0,2026-02-05,688018,22777.0
160.02,161.82,164.47,158.75,21133.0,343315040.0,2026-02-06,688018,21133.0
163.97,163.6,164.45,161.83,16800.0,274293248.0,2026-02-09,688018,16800.0
163.6,164.03,165.0,162.74,22792.0,373721408.0,2026-02-10,688018,22792.0
162.9,163.41,164.67,162.9,12634.0,206705472.0,2026-02-11,688018,12634.0
163.61,170.02,173.0,163.5,43465.0,731019776.0,2026-02-12,688018,43465.0
168.6,167.3,172.5,167.3,20906.0,354418752.0,2026-02-13,688018,20906.0
168.19,161.49,169.0,158.88,42833.0,689430592.0,2026-02-24,688018,42833.0
161.49,167.8,171.39,160.87,44254.0,734493952.0,2026-02-25,688018,44254.0
167.12,170.4,172.49,164.0,37475.0,630980672.0,2026-02-26,688018,37475.0
168.5,168.9,171.8,165.84,22287.0,375450368.0,2026-02-27,688018,22287.0
166.94,167.98,169.99,163.62,30096.0,500757952.0,2026-03-02,688018,30096.0
167.61,158.32,168.5,158.0,36715.0,593715264.0,2026-03-03,688018,36715.0
157.09,153.16,160.26,152.5,29377.0,458107296.0,2026-03-04,688018,29377.0
156.88,154.44,157.19,153.51,19203.0,298985536.0,2026-03-05,688018,19203.0
153.0,154.73,156.58,153.0,13648.0,211495968.0,2026-03-06,688018,13648.0
152.06,152.85,153.49,147.08,24246.0,363213120.0,2026-03-09,688018,24246.0
158.98,159.03,164.47,158.0,38696.0,622625856.0,2026-03-10,688018,38696.0
158.98,156.25,160.0,155.01,23453.0,368678624.0,2026-03-11,688018,23453.0
155.68,154.18,158.01,152.54,17430.0,269538944.0,2026-03-12,688018,17430.0
153.2,151.01,154.41,150.5,17860.0,272084512.0,2026-03-13,688018,17860.0
151.0,153.7,153.76,147.26,21630.0,325964352.0,2026-03-16,688018,21630.0
153.86,150.02,154.77,149.81,18424.0,278949408.0,2026-03-17,688018,18424.0
151.75,151.0,151.9,149.0,17895.0,268583936.0,2026-03-18,688018,17895.0
147.99,145.14,149.41,144.51,25846.0,377809248.0,2026-03-19,688018,25846.0
146.33,142.99,147.63,142.9,21862.0,317084896.0,2026-03-20,688018,21862.0
140.14,138.6,144.68,137.5,30985.0,438285056.0,2026-03-23,688018,30985.0
140.8,138.97,141.83,135.12,24329.0,333905760.0,2026-03-24,688018,24329.0
141.26,140.78,142.84,139.8,22630.0,319543680.0,2026-03-25,688018,22630.0
141.0,137.7,143.59,137.18,21487.0,301137376.0,2026-03-26,688018,21487.0
